#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-23T13:05:14 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-23T13:05:14	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/703/A258/table1&-out.all=1&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37030258
#Name: J/A+A/703/A258
#Title: TOI-2449 b radial velocity curves (Ulmer-Moll+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/a+a/703/a258	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/703/a258	    IVOID of underlying data collection
#INFO	creator=Ulmer-Moll S.	    First author or institution
#INFO	cites=bibcode:2025A&A...703A.258U	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/703/A258	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/bc-nz/lcfi	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-09-14	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_703_A258_table1:
#Name: J/A+A/703/A258/table1
#Title: Radial velocities of TOI-2449
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	BJD	(F15.7)	Barycentric Julian date	[ucd=time.epoch]
#Column	RV	(F10.7)	Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F7.4)	Radial velocity error	[ucd=stat.error]
#Column	Inst	(A7)	Name of the instrument (CHIRON, CORALIE, FEROS or HARPS)	[ucd=meta.id;instr]
recno	BJD	RV	e_RV	Inst
      35	2459282.4997400	-4.8690000	 0.0210	CHIRON
      36	2459282.5468025	-3.4669000	 0.0097	FEROS
      37	2459284.5933524	-3.4464000	 0.0110	FEROS
      38	2459285.5030700	-4.8650000	 0.0260	CHIRON
      39	2459287.5107449	-3.4301000	 0.0051	HARPS
      40	2459288.5072400	-4.8760000	 0.0290	CHIRON
      41	2459290.5357900	-4.8780000	 0.0210	CHIRON
      42	2459292.5020400	-4.8560000	 0.0280	CHIRON
      43	2459294.4890700	-4.9190000	 0.0320	CHIRON
      44	2459295.5130247	-3.4318000	 0.0032	HARPS
      45	2459296.4979400	-4.8770000	 0.0230	CHIRON
      46	2459297.5038000	-4.8380000	 0.0200	CHIRON
      47	2459310.4731800	-4.8970000	 0.0320	CHIRON
      48	2459312.5002800	-4.8600000	 0.0310	CHIRON
      49	2459313.4713400	-4.8880000	 0.0300	CHIRON
      50	2459316.4703100	-4.8680000	 0.0270	CHIRON
      51	2459320.4671700	-4.8380000	 0.0310	CHIRON
      52	2459322.4647800	-4.8390000	 0.0310	CHIRON
      53	2459424.8638100	-4.8690000	 0.0280	CHIRON
      54	2459436.9046100	-4.8670000	 0.0260	CHIRON
      55	2459443.8978200	-4.8400000	 0.0220	CHIRON
      56	2459452.8586100	-4.8580000	 0.0400	CHIRON
      57	2459455.8718300	-4.8680000	 0.0190	CHIRON
      58	2459459.8824900	-4.8520000	 0.0330	CHIRON
      59	2459462.8446100	-4.8090000	 0.0300	CHIRON
      60	2459465.8999200	-4.8860000	 0.0330	CHIRON
      61	2459470.8450300	-4.8930000	 0.0300	CHIRON
      62	2459472.7839373	-3.4028000	 0.0038	HARPS
      63	2459472.8382000	-4.8800000	 0.0350	CHIRON
      64	2459472.8418854	-3.4321702	 0.0210	CORALIE
      65	2459475.8531500	-4.8540000	 0.0200	CHIRON
      66	2459479.8609100	-4.8710000	 0.0250	CHIRON
      67	2459482.7960900	-4.9020000	 0.0290	CHIRON
      68	2459484.8209953	-3.4524399	 0.0227	CORALIE
      69	2459486.8143200	-4.8810000	 0.0310	CHIRON
      70	2459491.7707051	-3.4393000	 0.0058	HARPS
      71	2459493.7434260	-3.4573799	 0.0303	CORALIE
      72	2459499.7506452	-3.4453000	 0.0040	HARPS
      73	2459500.8322234	-3.4427000	 0.0036	HARPS
      74	2459503.7353110	-3.4404000	 0.0048	HARPS
      75	2459503.8052823	-3.4737000	 0.0107	FEROS
      76	2459505.7089000	-4.8820000	 0.0300	CHIRON
      77	2459505.7351568	-3.4452000	 0.0036	HARPS
      78	2459505.7567402	-3.4353000	 0.0097	FEROS
      79	2459508.7507000	-4.8510000	 0.0260	CHIRON
      80	2459511.7058600	-4.8990000	 0.0350	CHIRON
      81	2459514.7083200	-4.8740000	 0.0250	CHIRON
      82	2459516.6626352	-3.4770903	 0.0280	CORALIE
      83	2459517.7061600	-4.8220000	 0.0300	CHIRON
      84	2459518.7403737	-3.4394000	 0.0027	HARPS
      85	2459520.7740759	-3.4349000	 0.0025	HARPS
      86	2459520.7871000	-4.8460000	 0.0310	CHIRON
      87	2459523.7278600	-4.8570000	 0.0250	CHIRON
      88	2459526.6373500	-4.8820000	 0.0230	CHIRON
      89	2459528.6612781	-3.4212867	 0.0245	CORALIE
      90	2459529.7006895	-3.3918000	 0.0020	HARPS
      91	2459529.7374100	-4.8270000	 0.0280	CHIRON
      92	2459531.6929855	-3.3956000	 0.0020	HARPS
      93	2459535.7645028	-3.3888000	 0.0025	HARPS
      94	2459536.6766600	-4.8170000	 0.0230	CHIRON
      95	2459540.7455913	-3.3860000	 0.0021	HARPS
      96	2459541.7370526	-3.3856000	 0.0024	HARPS
      97	2459542.6685800	-4.8360000	 0.0220	CHIRON
      98	2459543.8128038	-3.3905000	 0.0109	FEROS
      99	2459545.7229917	-3.4162158	 0.0349	CORALIE
     100	2459557.5692200	-4.8400000	 0.0220	CHIRON
     101	2459564.7861886	-3.3836000	 0.0029	HARPS
     102	2459573.7237254	-3.4048000	 0.0119	FEROS
     103	2459576.6337226	-3.4489000	 0.0097	FEROS
     104	2459576.6687874	-3.4118000	 0.0020	HARPS
     105	2459578.6949187	-3.4544000	 0.0099	FEROS
     106	2459579.7684339	-3.4178000	 0.0024	HARPS
     107	2459581.7693853	-3.4268000	 0.0024	HARPS
     108	2459583.7237669	-3.4260000	 0.0032	HARPS
     109	2459584.7225299	-3.4335192	 0.0141	CORALIE
     110	2459585.6524898	-3.4262000	 0.0020	HARPS
     111	2459588.7474531	-3.4280000	 0.0030	HARPS
     112	2459593.6297900	-4.9470000	 0.0260	CHIRON
     113	2459595.7057771	-3.4353935	 0.0130	CORALIE
     114	2459598.5746300	-4.8620000	 0.0260	CHIRON
     115	2459601.6343272	-3.4279000	 0.0027	HARPS
     116	2459603.5361300	-4.8650000	 0.0260	CHIRON
     117	2459603.6880416	-3.4368000	 0.0023	HARPS
     118	2459605.7086169	-3.4178000	 0.0029	HARPS
     119	2459607.5859507	-3.4598816	 0.0281	CORALIE
     120	2459608.5413600	-4.8780000	 0.0250	CHIRON
     121	2459613.6138816	-3.4381000	 0.0025	HARPS
     122	2459615.5995610	-3.4333000	 0.0027	HARPS
     123	2459617.5754680	-3.4385000	 0.0020	HARPS
     124	2459621.6560267	-3.4234000	 0.0024	HARPS
     125	2459622.5676143	-3.4248940	 0.0164	CORALIE
     126	2459623.6094565	-3.4150000	 0.0032	HARPS
     127	2459625.6543871	-3.4069000	 0.0043	HARPS
     128	2459637.5831726	-3.4026507	 0.0108	CORALIE
     129	2459638.5892885	-3.3797000	 0.0026	HARPS
     130	2459641.5535585	-3.3761000	 0.0023	HARPS
     131	2459643.5431420	-3.4190000	 0.0114	FEROS
     132	2459650.5312313	-3.3750000	 0.0023	HARPS
     133	2459654.5665758	-3.3871000	 0.0034	HARPS
     134	2459656.5357855	-3.4028197	 0.0129	CORALIE
     135	2459656.5670757	-3.4011000	 0.0125	FEROS
     136	2459661.5317831	-3.3731000	 0.0059	HARPS
     137	2459669.5310992	-3.3696000	 0.0023	HARPS
     138	2459673.5230686	-3.3686000	 0.0046	HARPS
     139	2459679.4949868	-3.3930000	 0.0124	FEROS
     140	2459680.4783471	-3.4346005	 0.0203	CORALIE
     141	2459686.4723410	-3.4104000	 0.0041	HARPS
     142	2459688.4743186	-3.4620000	 0.0120	FEROS
     143	2459861.7187746	-3.3539000	 0.0052	HARPS
     144	2459869.7130167	-3.3518000	 0.0043	HARPS
     145	2459884.6394608	-3.3765000	 0.0059	HARPS
     146	2459885.6878901	-3.4052778	 0.0074	CORALIE
     147	2459891.6551698	-3.3821010	 0.0085	CORALIE
     148	2459896.6783940	-3.4042669	 0.0095	CORALIE
     149	2459908.6194109	-3.4210556	 0.0106	CORALIE
     150	2459924.7628542	-3.4369740	 0.0099	CORALIE
     151	2459932.5863952	-3.4430840	 0.0103	CORALIE
     152	2459933.7370026	-3.4088000	 0.0048	HARPS
     153	2459941.7965805	-3.3975000	 0.0041	HARPS
     154	2459945.6825805	-3.3774000	 0.0067	HARPS
     155	2459950.6239046	-3.3939709	 0.0266	CORALIE
     156	2459962.5626794	-3.3737861	 0.0085	CORALIE
     157	2459971.7115573	-3.3475612	 0.0193	CORALIE
     158	2459976.6044856	-3.3478929	 0.0117	CORALIE
     159	2459983.5332073	-3.3434822	 0.0133	CORALIE
     160	2460008.5279173	-3.3973033	 0.0086	CORALIE
     161	2460009.5596434	-3.3899075	 0.0141	CORALIE
     162	2460014.5126882	-3.3961209	 0.0170	CORALIE
     163	2460017.5720336	-3.3835000	 0.0046	HARPS
     164	2460033.5444756	-3.3978000	 0.0034	HARPS
     165	2460259.6775961	-3.4300648	 0.0130	CORALIE
     166	2460294.6119049	-3.4036336	 0.0098	CORALIE
     167	2460330.6452388	-3.4328200	 0.0171	CORALIE
     168	2460359.5439775	-3.4483884	 0.0079	CORALIE

